Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Password,Access
10016,Mata,Christian,10/21/1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,824188000000,103-100-522-000,631053000000,Regular,Account Team Leader,"Romualdez, Fredrick ",42975.00,1500.00,800.00,800.00,21488.00,255.80,User12345,YES
10017,De Leon,Selena ,02/20/1975,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272000000,482-259-498-000,719008000000,Regular,Account Team Leader,"Romualdez, Fredrick ",41850.00,1500.00,800.00,800.00,20925.00,249.11,User12345,YES
10018,San Jose,Allison,06/24/1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148000000,121-203-336-000,114902000000,Regular,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10019,Rosario,Cydney ,10/06/1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253000000,122-244-511-000,265104000000,Regular,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10020,Bautista,Mark ,02/12/1991,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665000000,273-970-941-000,260055000000,Regular,Account Rank and File,"Mata, Christian",23250.00,1500.00,500.00,500.00,11625.00,138.39,User12345,NO
10021,Lazaro,Darlene ,11/25/1985,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606387000000,354-650-951-000,104908000000,Probationary,Account Rank and File,"Mata, Christian",23250.00,1500.00,500.00,500.00,11625.00,138.39,User12345,NO
10022,Delos Santos,Kolby ,02/26/1980,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451000000,187-500-345-000,113018000000,Probationary,Account Rank and File,"Mata, Christian",24000.00,1500.00,500.00,500.00,12000.00,142.86,User12345,NO
10023,Santos,Vella ,12/31/1983,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670000000,101-558-994-000,360028000000,Probationary,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10024,Del Rosario,Tomas,12/18/1978,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953902000000,560-735-732-000,913109000000,Probationary,Account Rank and File,"Mata, Christian",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10025,Tolentino,Jacklyn ,05/19/1984,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753801000000,841-177-857-000,210547000000,Probationary,Account Rank and File,"De Leon, Selena",24000.00,1500.00,500.00,500.00,12000.00,142.86,User12345,NO
10026,Gutierrez,Percival ,12/18/1970,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639000000,502-995-671-000,210897000000,Probationary,Account Rank and File,"De Leon, Selena",24750.00,1500.00,500.00,500.00,12375.00,147.32,User12345,NO
10027,Manalaysay,Garfield ,08/28/1986,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909000000,336-676-445-000,211274000000,Probationary,Account Rank and File,"De Leon, Selena",24750.00,1500.00,500.00,500.00,12375.00,147.32,User12345,NO
10028,Villegas,Lizeth ,12/12/1981,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934390000000,210-395-397-000,122238000000,Probationary,Account Rank and File,"De Leon, Selena",24000.00,1500.00,500.00,500.00,12000.00,142.86,User12345,NO
10029,Ramos,Carol ,08/20/1978,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830000000,395-032-717-000,212142000000,Probationary,Account Rank and File,"De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10030,Maceda,Emelia ,04/14/1973,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465088000000,215-973-013-000,515013000000,Probationary,Account Rank and File,"De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10031,Aguilar,Delia ,01/27/1989,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451000000,599-312-588-000,110019000000,Probationary,Account Rank and File,"De Leon, Selena",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,NO
10032,Castro,John Rafael,02/09/1992,"Hi-way, Yati, Liloan Cebu",332-424-955 ,26-7145133-4,601645000000,404-768-309-000,697764000000,Regular,Sales & Marketing,"Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,User12345,NO
10033,Martinez,Carlos Ian,11/16/1990,"Bulala, Camalaniugan",078-854-208,11-5062972-7,380685000000,256-436-296-000,993373000000,Regular,Supply Chain and Logistics,"Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,User12345,NO
10034,Santos,Beatriz,08/07/1990,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,918460000000,911-529-713-000,874042000000,Regular,Customer Service and Relations,"Reyes, Isabella",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,User12345,NO
